Entry,Atom Type,Neighbours,Contribution,Occurrences,Molecules,SMARTS,pi,fnc
355,Crippen N6,SMARTS 1,0.09458689965539138,178,170,"[N+0](=[!#1;A,a])[!#1;A,a]",,
356,Crippen N7,SMARTS 1,0.02360379248250257,312,268,[N+0]([A;!#1])([A;!#1])[A;!#1],,
357,Crippen N8,SMARTS 1,0.046410755663854775,112,105,"[N+0](a)([!#1;A,a])[A;!#1]",,
358,Crippen N8,SMARTS 2,0.7835148650854645,1,1,[N+0](a)(a)a,,
359,Crippen N9,SMARTS 1,-0.30091119798702154,146,140,[N+0]#[A;!#1],,
360,Crippen N10,SMARTS 1,-0.9004638555560763,32,32,"[NH3,NH2,NH;+,+2,+3]",,
361,Crippen N11,SMARTS 1,-0.08929013469798396,892,495,[n+0],,
362,Crippen N12,SMARTS 1,-0.2833509043684153,29,28,"[n;+,+2,+3]",,
363,Crippen N13,SMARTS 1,0.6840565489473261,1,1,"[NH0;+,+2,+3]([A;!#1])([A;!#1])([A;!#1])[A;!#1]",,
364,Crippen N13,SMARTS 2,0.07431993592360593,304,241,"[NH0;+,+2,+3](=[A;!#1])([A;!#1])[!#1;A,a]",,
365,Crippen N13,SMARTS 3,1.5319360652074119,1,1,"[NH0;+,+2,+3](=[#6])=[#7]",,
366,Crippen N14,SMARTS 1,0.0,0,0,"[N;+,+2,+3]#[A;!#1]",,
367,Crippen N14,SMARTS 2,-0.7511334906816782,2,2,"[N;-,-2,-3]",,
368,Crippen N14,SMARTS 3,-3.0337536696713165,1,1,"[N;+,+2,+3](=[N;-,-2,-3])=N",,
369,Crippen NS,SMARTS 1,-0.09137869322872447,3103,1707,[#7],,
370,Crippen O1,SMARTS 1,0.258213339502979,53,52,[o],,
371,Crippen O2,SMARTS 1,-0.3163053332714809,1131,890,"[OH,OH2]",,
372,Crippen O3,SMARTS 1,0.12755171330352827,765,507,[O]([A;!#1])[A;!#1],,
373,Crippen O4,SMARTS 1,0.011760888468362471,670,549,"[O](a)[!#1;A,a]",,
374,Crippen O5,SMARTS 1,0.03776808325681555,336,270,"[O]=[#7,#8]",,
375,Crippen O5,SMARTS 2,0.0760773283084824,323,245,"[OX1;-,-2,-3][#7]",,
376,Crippen O6,SMARTS 1,0.0,0,0,"[OX1;-,-2,-2][#16]",,
377,Crippen O6,SMARTS 2,-0.26117229506008754,246,122,[O;-0]=[#16;-0],,
378,Crippen O12,SMARTS 1,-0.7676806875407188,38,38,[O-]C(=O),,
379,Crippen O7,SMARTS 1,-0.06695783034528432,61,58,"[OX1;-,-2,-3][!#1;!N;!S]",,
380,Crippen O8,SMARTS 1,-0.4152513124274028,122,93,[O]=c,,
381,Crippen O9,SMARTS 1,-0.34188239548157157,24,24,[O]=[CH]C,,
382,Crippen O9,SMARTS 2,-0.3676388464271244,985,775,[O]=C(C)([A;!#1]),,
383,Crippen O9,SMARTS 3,-0.3264489023193553,26,25,"[O]=[CH][N,O]",,
384,Crippen O9,SMARTS 4,-0.08713839166189241,1,1,[O]=[CH2],,
385,Crippen O9,SMARTS 5,0.0,0,0,[O]=[CX2]=O,,
386,Crippen O10,SMARTS 1,-0.1775157751522656,21,21,[O]=[CH]c,,
387,Crippen O10,SMARTS 2,0.00611723263368586,88,75,"[O]=C([C,c])[a;!#1]",,
388,Crippen O10,SMARTS 3,-0.054147389117550015,355,314,[O]=C(c)[A;!#1],,
389,Crippen O11,SMARTS 1,-0.05976892980209058,226,222,[O]=C([!#1;!#6])[!#1;!#6],,
390,Crippen OS,SMARTS 1,-0.09835244109184015,5389,2325,[#8],,
391,Crippen F,SMARTS 1,0.07320351377662508,465,207,[#9-0],,
392,Crippen Cl,SMARTS 1,0.25791270287262097,2160,757,[#17-0],,
393,Crippen Br,SMARTS 1,0.3296506336597589,368,202,[#35-0],,
394,Crippen I,SMARTS 1,0.588834315833419,61,44,[#53-0],,
395,Crippen Hal,SMARTS 1,0.0,0,0,"[#9,#17,#35,#53;-]",,
396,Crippen Hal,SMARTS 2,0.0,0,0,"[#53;+,+2,+3]",,
397,Crippen Hal,SMARTS 3,0.0,0,0,"[+;#3,#11,#19,#37,#55]",,
398,Crippen P,SMARTS 1,0.2046616175974192,79,76,[#15],,
399,Crippen S2,SMARTS 1,-0.16761879661449383,2,1,"[S;-,-2,-3,-4,+1,+2,+3,+5,+6]",,
400,Crippen S2,SMARTS 2,-0.1892372181158918,278,152,"[S-0]=[N,O,P,S]",,
401,Crippen S1,SMARTS 1,0.21323587274375738,438,369,[S;A],,
402,Crippen S3,SMARTS 1,0.49872766449848,34,34,[s;a],,
403,Crippen Me1,SMARTS 1,1.221909765493203,4,1,"[#3,#11,#19,#37,#55]",,
404,Crippen Me1,SMARTS 2,0.0,0,0,"[#4,#12,#20,#38,#56]",,
405,Crippen Me1,SMARTS 3,1.324419128210707,4,4,"[#5,#13,#31,#49,#81]",,
406,Crippen Me1,SMARTS 4,0.13433433091585023,23,8,"[#14,#32,#50,#82]",,
407,Crippen Me1,SMARTS 5,0.0,0,0,"[#33,#51,#83]",,
408,Crippen Me1,SMARTS 6,0.0,0,0,"[#34,#52,#84]",,
409,Crippen Me2,SMARTS 1,-0.33523759322898766,1,1,"[#21,#22,#23,#24,#25,#26,#27,#28,#29,#30]",,
410,Crippen Me2,SMARTS 2,0.0,0,0,"[#39,#40,#41,#42,#43,#44,#45,#46,#47,#48]",,
411,Crippen Me2,SMARTS 3,0.0,0,0,"[#72,#73,#74,#75,#76,#77,#78,#79,#80]",,
